league,route,threshold,games,correct,accuracy,coverage
CPBL,advanced(no_SP),>0.600,127,79,0.6220,0.0760
CPBL,advanced(no_SP),>0.625,78,51,0.6538,0.0467
CPBL,advanced(no_SP),>0.650,43,31,0.7209,0.0257
CPBL,advanced(no_SP),>0.675,17,13,0.7647,0.0102
CPBL,advanced(no_SP),>0.700,6,3,0.5000,0.0036
CPBL,soft_blend,>0.600,4,2,0.5000,0.0219
CPBL,soft_blend,>0.625,1,0,0.0000,0.0055
KBO,early,>0.600,23,13,0.5652,0.0634
KBO,early,>0.625,3,1,0.3333,0.0083
KBO,fallback,>0.600,157,91,0.5796,0.0393
KBO,fallback,>0.625,19,8,0.4211,0.0048
KBO,fallback,>0.650,1,0,0.0000,0.0003
MLB,early,>0.600,8,4,0.5000,0.0741
MLB,fallback,>0.600,586,392,0.6689,0.2878
MLB,fallback,>0.625,367,253,0.6894,0.1803
MLB,fallback,>0.650,184,132,0.7174,0.0904
MLB,fallback,>0.675,98,75,0.7653,0.0481
MLB,fallback,>0.700,34,25,0.7353,0.0167
MLB,fallback,>0.725,9,7,0.7778,0.0044
MLB,fallback,>0.750,1,1,1.0000,0.0005
MLB,primary,>0.600,3005,1900,0.6323,0.2885
MLB,primary,>0.625,1870,1216,0.6503,0.1795
MLB,primary,>0.650,1089,732,0.6722,0.1046
MLB,primary,>0.675,530,368,0.6943,0.0509
MLB,primary,>0.700,164,113,0.6890,0.0157
MLB,primary,>0.725,32,17,0.5312,0.0031
MLB,primary,>0.750,4,3,0.7500,0.0004
MLB,soft_blend,>0.600,93,58,0.6237,0.0939
MLB,soft_blend,>0.625,43,27,0.6279,0.0434
MLB,soft_blend,>0.650,12,9,0.7500,0.0121
MLB,soft_blend,>0.675,1,1,1.0000,0.0010
NPB,early_baseline,>0.600,36,22,0.6111,0.0867
NPB,early_baseline,>0.625,14,10,0.7143,0.0337
NPB,early_baseline,>0.650,2,1,0.5000,0.0048
NPB,fallback,>0.600,465,277,0.5957,0.1150
NPB,fallback,>0.625,153,91,0.5948,0.0378
NPB,fallback,>0.650,38,25,0.6579,0.0094
NPB,primary,>0.600,9,3,0.3333,0.7500
NPB,primary,>0.625,7,2,0.2857,0.5833
NPB,primary,>0.650,7,2,0.2857,0.5833
NPB,primary,>0.675,6,1,0.1667,0.5000
NPB,primary,>0.700,6,1,0.1667,0.5000
NPB,primary,>0.725,5,0,0.0000,0.4167
NPB,primary,>0.750,3,0,0.0000,0.2500
